f2h_entity_id,f2hname,f2h_price,f2h_weight
1063,Large Catfish / Etta Koori - Curry Cut,394.7600,0.5000
1067,Barracuda / Cheelavu (Small),298.0000,0.5000
1068,Barracuda / Cheelavu (Small) - Whole,298.0000,0.5000
1069,Barracuda / Cheelavu (Small) - whole Cleaned,411.2400,0.5000
1073,Horse Mackerel / Ayala Para / Vankada (Small),228.0000,0.5000
1075,Horse Mackerel / Ayala Para / Vankada - Whole Cleaned (includes head pieces),316.9200,0.5000
1079,Queen Fish / Leather Skin Fish,298.0000,0.5000
1080,Queen Fish / Leather Skin Fish  - Whole,298.0000,6.0000
1081,Queen Fish / Leather Skin Fish  - Whole Cleaned,458.9200,5.0000
1082,Black Snapper / Karipetti,298.0000,0.5000
1083,Black Snapper - Whole,338.0000,2.5000
1084,Black Snapper - Curry Cut (May include head pieces),517.1400,0.5000
1104,Sea Crab,298.0000,0.5000
1105,False Pomfret / Bheeman Avoli,438.0000,0.5000
1106,False Pomfret / Bheeman Avoli - Whole,438.0000,4.0000
1107,False Pomfret / Bheeman Avoli - Curry Cut,626.3400,0.5000
1123,Indian Salmon / Vazhmeen / Raavas / Gurjali - Curry cut (May include head pieces),1141.1400,0.5000
1125,Indian Salmon / Vazhmeen / Raavas / Gurjali - Whole Cleaned,1053.3600,0.5000
1144,Rupchanda / Roopchand,199.0000,0.5000
1145,Rupchanda / Roopchand - Whole,199.0000,1.2000
1146,Rupchanda / Roopchand - Whole Cleaned,268.6699,2.5000
1147,Rupchanda / Roopchand - Curry Cut,276.6299,0.5000
1160,Premium Tender and Antibiotic Free Chicken - Curry Cut (Skinless),228.0000,0.2500
1161,Premium Kuttanadan Duck Dressed with Tasty Skin,518.0000,0.5000
1162,Kuttanad Duck - Curry Cut,518.0000,1.1000
1163,Premium Kuttanadan Duck - Whole Cleaned,518.0000,1.2000
1166,White Prawns / Indian Naaran (Large),698.0000,0.5000
1167,White Prawns / Indian Naaran (Large) - Whole (Not Cleaned),698.0000,0.5000
1168,White Prawns / Indian Naaran (Large) - Peeled & Deveined (PD) Meat,1396.0000,0.5000
1169,White Prawns / Indian Naaran (Large) - Peeled & Undeveined (PUD) Meat,1340.1600,0.5000
1170,White Prawns / Indian Naaran (Large) - Tail On,1130.7600,0.5000
1171,White Prawns / Indian Naaran (Large) - Headless,1074.9200,0.5000
1172,Indian Prawns / Venami,638.0000,0.5000
1173,Indian Prawns / Venami - Whole (Not Cleaned),638.0000,0.5000
1174,Indian Prawns / Venami - Peeled & Deveined (PD) Meat,1276.0000,0.5000
1176,Premium Wild Caught Prawn  - Peeled & Deveined,1119.0400,0.5000
1177,Premium Chicken - 1 Full Chicken Curry Cut (Skinless),228.0000,1.1000
